Date,SoilMoisture
"1982-03-02:12 AM",0.3135
"1982-03-03:12 AM",0.2951
"1982-03-04:12 AM",0.2847
"1982-03-05:12 AM",0.2738
"1982-03-06:12 AM",0.2704
"1982-03-07:12 AM",0.2666
"1982-03-08:12 AM",0.2555
"1982-03-09:12 AM",0.2421
"1982-03-10:12 AM",0.2352
"1982-03-11:12 AM",0.2313
"1982-03-12:12 AM",0.2905
"1982-03-13:12 AM",0.295
"1982-03-14:12 AM",0.2909
"1982-03-15:12 AM",0.2867
"1982-03-16:12 AM",0.2852
"1982-03-17:12 AM",0.2704
"1982-03-18:12 AM",0.2533
"1982-03-19:12 AM",0.2469
"1982-03-20:12 AM",0.2409
"1982-03-21:12 AM",0.2377
"1982-03-22:12 AM",0.2339
"1982-03-23:12 AM",0.2252
"1982-03-24:12 AM",0.2177
"1982-03-25:12 AM",0.2112
"1982-03-26:12 AM",0.2185
"1982-03-27:12 AM",0.2406
"1982-03-28:12 AM",0.2347
"1982-03-29:12 AM",0.2508
"1982-03-30:12 AM",0.2195
"1982-03-31:12 AM",0.2127
"1982-04-01:12 AM",0.2034
"1982-04-02:12 AM",0.228
"1982-04-03:12 AM",0.1954
"1982-04-04:12 AM",0.1875
"1982-04-05:12 AM",0.1805
"1982-04-06:12 AM",0.1755
"1982-04-07:12 AM",0.1911
"1982-04-08:12 AM",0.1671
"1982-04-09:12 AM",0.1667
"1982-04-10:12 AM",0.1627
"1982-04-11:12 AM",0.1608
"1982-04-12:12 AM",0.1587
"1982-04-13:12 AM",0.1554
"1982-04-14:12 AM",0.1546
"1982-04-15:12 AM",0.1527
"1982-04-16:12 AM",0.15
"1982-04-17:12 AM",0.1488
"1982-04-18:12 AM",0.1476
"1982-04-19:12 AM",0.1464
"1982-04-20:12 AM",0.1453
"1982-04-21:12 AM",0.1453
"1982-04-22:12 AM",0.1591
"1982-04-23:12 AM",0.1856
"1982-04-24:12 AM",0.1745
"1982-04-25:12 AM",0.1687
"1982-04-26:12 AM",0.1657
"1982-04-27:12 AM",0.1629
"1982-04-28:12 AM",0.1607
"1982-04-29:12 AM",0.1589
"1982-04-30:12 AM",0.1578
"1982-05-01:12 AM",0.1716
"1982-05-02:12 AM",0.1653
"1982-05-03:12 AM",0.1718
"1982-05-04:12 AM",0.1858
"1982-05-05:12 AM",0.2663
"1982-05-06:12 AM",0.2427
"1982-05-07:12 AM",0.2266
"1982-05-08:12 AM",0.2132
"1982-05-09:12 AM",0.1983
"1982-05-10:12 AM",0.1875
"1982-05-11:12 AM",0.1819
"1982-05-12:12 AM",0.293
"1982-05-13:12 AM",0.2523
"1982-05-14:12 AM",0.2322
"1982-05-15:12 AM",0.2208
"1982-05-16:12 AM",0.2744
"1982-05-17:12 AM",0.2104
"1982-05-18:12 AM",0.1962
"1982-05-19:12 AM",0.1864
"1982-05-20:12 AM",0.1795
"1982-05-21:12 AM",0.1754
"1982-05-22:12 AM",0.1732
"1982-05-23:12 AM",0.1704
"1982-05-24:12 AM",0.1669
"1982-05-25:12 AM",0.1638
"1982-05-26:12 AM",0.1603
"1982-05-27:12 AM",0.1586
"1982-05-28:12 AM",0.1941
"1982-05-29:12 AM",0.1555
"1982-05-30:12 AM",0.1532
"1982-05-31:12 AM",0.1515
"1982-06-01:12 AM",0.1497
"1982-06-02:12 AM",0.1478
"1982-06-03:12 AM",0.1463
"1982-06-04:12 AM",0.1451
"1982-06-05:12 AM",0.1436
"1982-06-06:12 AM",0.1421
"1982-06-07:12 AM",0.1412
"1982-06-08:12 AM",0.1403
"1982-06-09:12 AM",0.1396
"1982-06-10:12 AM",0.139
"1982-06-11:12 AM",0.1384
"1982-06-12:12 AM",0.1379
"1982-06-13:12 AM",0.1373
"1982-06-14:12 AM",0.1367
"1982-06-15:12 AM",0.1362
"1982-06-16:12 AM",0.1359
"1982-06-17:12 AM",0.1358
"1982-06-18:12 AM",0.1381
"1982-06-19:12 AM",0.1351
"1982-06-20:12 AM",0.1348
"1982-06-21:12 AM",0.1345
"1982-06-22:12 AM",0.1341
"1982-06-23:12 AM",0.1338
"1982-06-24:12 AM",0.1335
